id,tz,from,to,hours
1476573086157,Europe/Stockholm,16. 10. 2016 1:11,16. 10. 2016 8:38,7.46
1476658846218,Europe/Stockholm,17. 10. 2016 1:00,17. 10. 2016 5:30,4.5
1476679063263,Europe/Stockholm,17. 10. 2016 6:37,17. 10. 2016 8:33,1.93
1476742483671,Europe/Stockholm,18. 10. 2016 0:14,18. 10. 2016 7:28,7.24
1476827086302,Europe/Stockholm,18. 10. 2016 23:44,19. 10. 2016 5:31,5.78
1476848514023,Europe/Stockholm,19. 10. 2016 5:41,19. 10. 2016 5:54,0.22
1476999888240,Europe/Stockholm,20. 10. 2016 23:44,21. 10. 2016 5:38,5.9
1477021133168,Europe/Stockholm,21. 10. 2016 5:38,21. 10. 2016 7:28,1.82
1477101389293,Europe/Stockholm,22. 10. 2016 3:56,22. 10. 2016 11:11,7.26
1477177187404,Europe/Stockholm,23. 10. 2016 0:59,23. 10. 2016 8:01,7.02
1477264090554,Europe/Stockholm,24. 10. 2016 1:08,24. 10. 2016 6:54,5.77
1477357413093,Europe/Stockholm,25. 10. 2016 3:03,25. 10. 2016 7:12,4.14
1477431746733,Europe/Stockholm,25. 10. 2016 23:42,26. 10. 2016 6:55,7.22
1477457794199,Europe/Stockholm,26. 10. 2016 6:56,26. 10. 2016 7:10,0.23
1477520200415,Europe/Stockholm,27. 10. 2016 0:16,27. 10. 2016 7:13,6.95
1477606279823,Europe/Stockholm,28. 10. 2016 0:11,28. 10. 2016 7:40,7.49
1477704601775,Europe/Stockholm,29. 10. 2016 3:30,29. 10. 2016 10:40,7.18
1477794611031,Europe/Stockholm,30. 10. 2016 3:30,30. 10. 2016 10:30,7.01
1477867457831,Europe/Stockholm,30. 10. 2016 23:44,31. 10. 2016 7:36,7.87
1477969416421,Europe/Stockholm,01. 11. 2016 4:03,01. 11. 2016 6:47,2.73
1478051551826,Europe/Stockholm,02. 11. 2016 2:52,02. 11. 2016 9:40,6.8
1478129048487,Europe/Stockholm,03. 11. 2016 0:24,03. 11. 2016 7:29,7.08
1478170822682,Europe/Stockholm,03. 11. 2016 12:00,04. 11. 2016 7:30,19.5
1478315124393,Europe/Stockholm,05. 11. 2016 4:05,05. 11. 2016 13:28,9.39
1478389177569,Europe/Stockholm,06. 11. 2016 0:39,06. 11. 2016 10:39,10.01
1478474992319,Europe/Stockholm,07. 11. 2016 0:29,07. 11. 2016 7:41,7.19
1478564633590,Europe/Stockholm,08. 11. 2016 1:23,08. 11. 2016 7:31,6.13
1478651442487,Europe/Stockholm,09. 11. 2016 1:30,09. 11. 2016 7:22,5.86
1478923557987,Europe/Stockholm,12. 11. 2016 5:05,12. 11. 2016 15:05,10
1478925666886,Europe/Stockholm,12. 11. 2016 5:41,12. 11. 2016 12:28,6.8
1479001946176,Europe/Stockholm,13. 11. 2016 2:52,13. 11. 2016 11:43,8.84
1479086276129,Europe/Stockholm,14. 11. 2016 2:17,14. 11. 2016 7:22,5.08
1479170153232,Europe/Stockholm,15. 11. 2016 1:35,15. 11. 2016 7:40,6.08
1479250285594,Europe/Stockholm,15. 11. 2016 23:51,16. 11. 2016 6:29,6.64
1479340989251,Europe/Stockholm,17. 11. 2016 1:03,17. 11. 2016 8:03,7
1479429588590,Europe/Stockholm,18. 11. 2016 1:39,18. 11. 2016 7:26,5.77
1479685392060,Europe/Stockholm,21. 11. 2016 0:43,21. 11. 2016 7:21,6.64
1479774227752,Europe/Stockholm,22. 11. 2016 1:23,22. 11. 2016 7:23,5.99
1479856122215,Europe/Stockholm,23. 11. 2016 0:08,23. 11. 2016 7:13,7.07
1479951930420,Europe/Stockholm,24. 11. 2016 2:45,24. 11. 2016 7:13,4.47
1480033934316,Europe/Stockholm,25. 11. 2016 1:32,25. 11. 2016 10:51,9.31
1480200988366,Europe/Stockholm,26. 11. 2016 23:56,27. 11. 2016 7:32,7.6
1480288795103,Europe/Stockholm,28. 11. 2016 0:19,28. 11. 2016 7:31,7.2
1480379838892,Europe/Stockholm,29. 11. 2016 1:37,29. 11. 2016 8:00,6.39
1480466443962,Europe/Stockholm,30. 11. 2016 1:40,30. 11. 2016 3:56,2.26
1480542137579,Europe/Amsterdam,30. 11. 2016 22:42,01. 12. 2016 6:53,8.18
1480831652516,America/Denver,03. 12. 2016 23:07,04. 12. 2016 7:00,7.88
1480914538097,America/Denver,04. 12. 2016 22:08,05. 12. 2016 4:38,6.49
1481607347301,America/New_York,13. 12. 2016 0:35,13. 12. 2016 8:50,8.25
1481892093325,America/Denver,16. 12. 2016 5:41,16. 12. 2016 12:17,6.6
